company_code,company_name,short_name,secu_code,year,notice_date,source_url,access_date,revenue_100m_rmb,revenue_growth_pct,parent_net_profit_100m_rmb,parent_net_profit_growth_pct,operating_cash_flow_to_revenue_pct,asset_liability_ratio_pct,current_ratio,quick_ratio,cash_ratio,gross_margin_pct,net_profit_margin_pct,roe_weighted_pct,receivable_turnover_days,inventory_turnover_days,payable_turnover_days,interest_coverage_proxy,liability_100m_rmb,total_assets_estimated_100m_rmb,staff_num
601668,中国建筑股份有限公司,中国建筑,601668.SH,2022,2023-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601668,2026-06-29,20550.52,8.5774,509.50,-1.1606,0.1863,74.3531,1.3117,0.7719,0.2346,10.4557,3.3679,13.9400,34.2500,191.0497,107.8863,0.1272,19725.16,26529.03,382492
601668,中国建筑股份有限公司,中国建筑,601668.SH,2023,2024-04-19,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601668,2026-06-29,22655.29,10.2419,542.64,6.5041,0.4869,74.8195,1.2883,0.7876,0.2256,9.8346,3.2460,13.3600,37.1937,190.8061,112.4119,0.3433,21722.52,29033.23,382894
601668,中国建筑股份有限公司,中国建筑,601668.SH,2024,2025-04-16,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601668,2026-06-29,21873.34,-3.4515,461.94,-14.8726,0.7235,75.7982,1.2938,0.8554,0.2410,9.8579,2.8686,10.3600,47.3049,214.4312,138.5846,0.4823,24177.93,31897.74,361249
601668,中国建筑股份有限公司,中国建筑,601668.SH,2025,2026-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601668,2026-06-29,20821.42,-4.8092,390.69,-15.4235,0.9863,76.9002,1.2617,0.8668,0.1993,9.8976,2.5722,8.1500,63.3418,251.6086,175.1555,0.6991,27381.72,35606.80,370272
601669,中国电力建设股份有限公司,中国电建,601669.SH,2021,2022-04-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601669,2026-06-29,5656.53,40.7252,98.64,23.5036,3.7602,75.9749,1.0541,0.7805,0.1579,12.0711,2.6305,7.8600,50.2314,143.0381,105.6010,1.3041,8170.08,10753.66,133207
601669,中国电力建设股份有限公司,中国电建,601669.SH,2022,2023-04-27,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601669,2026-06-29,5726.13,1.2305,114.35,15.9209,5.3935,76.8918,0.8798,0.8439,0.2143,12.2083,2.7435,9.9100,63.6113,117.7711,131.6359,2.3581,7997.60,10401.10,164165
601669,中国电力建设股份有限公司,中国电建,601669.SH,2023,2024-04-26,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601669,2026-06-29,6098.44,6.5019,129.49,13.2364,3.6534,77.5060,0.8412,0.8097,0.1803,13.2268,2.8159,9.5100,61.1201,87.4435,145.2616,1.5194,8948.50,11545.55,165295
601669,中国电力建设股份有限公司,中国电建,601669.SH,2024,2025-04-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601669,2026-06-29,6347.32,4.0811,120.20,-7.1694,3.8727,78.9295,0.8826,0.8514,0.1906,13.1870,2.4975,8.1400,65.9579,101.8242,159.0637,1.6601,10174.55,12890.69,163912
601669,中国电力建设股份有限公司,中国电建,601669.SH,2025,2026-04-24,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601669,2026-06-29,6462.37,1.8126,100.07,-16.7472,4.7547,79.5922,0.8816,0.8523,0.1931,12.4269,2.0308,6.4000,71.2571,119.0354,180.8730,2.0868,10985.86,13802.67,161478
601800,中国交通建设股份有限公司,中国交建,601800.SH,2021,2022-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601800,2026-06-29,6858.31,9.2808,179.95,11.0376,-1.8410,71.8645,0.9469,0.8250,0.1778,12.5216,3.4262,7.5900,52.4871,122.2373,161.4520,-0.6179,9997.14,13911.09,136772
601800,中国交通建设股份有限公司,中国交建,601800.SH,2022,2023-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601800,2026-06-29,7218.87,5.2573,192.63,7.0495,0.1577,71.8146,0.9325,0.8147,0.1725,11.7081,3.4645,7.5700,50.8859,121.9968,163.7951,0.0198,10892.21,15167.13,136506
601800,中国交通建设股份有限公司,中国交建,601800.SH,2023,2024-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601800,2026-06-29,7587.19,5.1021,238.16,23.6354,1.5897,72.7383,0.9003,0.7848,0.1598,12.5940,3.9852,8.8700,52.9015,132.2100,179.9787,0.5105,12252.12,16844.12,144813
601800,中国交通建设股份有限公司,中国交建,601800.SH,2024,2025-03-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601800,2026-06-29,7719.44,1.7431,233.84,-1.8146,1.6201,74.8253,0.9081,0.7905,0.1646,12.2861,3.9312,8.0300,59.3416,150.6381,200.0233,0.5370,13904.58,18582.73,137471
601800,中国交通建设股份有限公司,中国交建,601800.SH,2025,2026-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601800,2026-06-29,7311.09,-5.2900,147.51,-36.9171,2.0972,76.8273,0.8944,0.7765,0.1560,11.3709,2.8456,4.7900,72.8135,185.1658,226.3943,0.6940,15512.45,20191.32,133906
601868,中国能源建设股份有限公司,中国能建,601868.SH,2021,2022-03-30,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601868,2026-06-29,3223.19,19.2326,65.04,39.2570,2.7439,71.6875,1.1457,0.9290,0.2267,13.1574,2.9777,8.5500,60.3365,150.0459,144.7188,1.7620,3791.29,5288.63,115325
601868,中国能源建设股份有限公司,中国能建,601868.SH,2022,2023-03-31,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601868,2026-06-29,3663.96,13.6751,78.24,20.2955,2.1662,74.8000,1.1089,0.9292,0.2231,12.4195,2.8445,8.4800,63.8489,153.8915,163.0489,1.0332,4970.85,6645.52,114786
601868,中国能源建设股份有限公司,中国能建,601868.SH,2023,2024-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601868,2026-06-29,4060.32,10.8178,79.86,2.0702,2.3363,75.9623,1.0217,0.8588,0.1864,12.6358,2.7721,7.8800,67.0420,168.4465,187.4561,0.9664,5949.03,7831.56,117039
601868,中国能源建设股份有限公司,中国能建,601868.SH,2024,2025-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601868,2026-06-29,4367.13,7.5563,83.96,5.1345,2.5251,76.3144,1.0230,0.8518,0.2095,12.4070,2.7074,7.7400,67.3715,169.2604,184.3921,1.1015,6631.76,8690.05,116388
601868,中国能源建设股份有限公司,中国能建,601868.SH,2025,2026-03-28,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=1&code=SH601868,2026-06-29,4529.30,3.7134,58.40,-30.4410,2.5500,77.7380,0.9901,0.8206,0.2022,12.1915,2.1539,5.0500,67.8275,165.5896,176.2062,1.2323,7319.79,9415.97,116055
