year,risk_category,risk_label,term,term_source,exact_mentions,jieba_token_count,jieba_weight
2023,market,市场风险,折算,word2vec,18,18,0.0
2023,market,市场风险,本位币,word2vec,7,7,0.0
2023,market,市场风险,无风险,word2vec,5,5,0.0
2023,market,市场风险,激烈,word2vec,1,1,0.0
2023,market,市场风险,市场占有率,word2vec,3,3,0.0
2023,market,市场风险,房地产业,word2vec,5,2,0.0
2023,market,市场风险,市场份额,word2vec,0,0,0.0
2023,market,市场风险,需求量,word2vec,1,1,0.0
2023,market,市场风险,金融市场,word2vec,1,1,0.0
2023,organizational_propagation,组织传导风险,子公司,seed,279,279,0.019516
2023,organizational_propagation,组织传导风险,担保,seed,137,136,0.009819
2023,organizational_propagation,组织传导风险,关联,seed,102,44,0.00328
2023,organizational_propagation,组织传导风险,差额补足,seed,12,12,0.0
2023,organizational_propagation,组织传导风险,集团,seed,830,0,0.0
2023,organizational_propagation,组织传导风险,控股,seed,46,46,0.002863
2023,organizational_propagation,组织传导风险,联营,seed,142,142,0.014939
2023,organizational_propagation,组织传导风险,合营,seed,134,134,0.013493
2023,organizational_propagation,组织传导风险,支付现金,word2vec,3,3,0.0
2023,organizational_propagation,组织传导风险,贷款额度,word2vec,1,1,0.0
2023,organizational_propagation,组织传导风险,关联方,word2vec,58,58,0.005752
2024,liquidity,流动性风险,现金流,seed,138,137,0.010771
2024,liquidity,流动性风险,资金,seed,175,162,0.006681
2024,liquidity,流动性风险,回款,seed,3,3,0.0
2024,liquidity,流动性风险,流动性,seed,21,21,0.0
2024,liquidity,流动性风险,短期债务,seed,0,0,0.0
2024,liquidity,流动性风险,融资,seed,361,140,0.007528
2024,liquidity,流动性风险,筹资,seed,22,22,0.0
2024,liquidity,流动性风险,到期,seed,130,130,0.008187
2024,liquidity,流动性风险,偿付,seed,15,15,0.0
2024,liquidity,流动性风险,收支,word2vec,5,5,0.0
2024,liquidity,流动性风险,本息,word2vec,2,2,0.0
2024,liquidity,流动性风险,库存现金,word2vec,2,2,0.0
2024,liquidity,流动性风险,现金结算,word2vec,1,1,0.0
2024,liquidity,流动性风险,现金额,word2vec,1,1,0.0
2024,liquidity,流动性风险,现金,word2vec,333,180,0.011216
2024,liquidity,流动性风险,自筹资金,word2vec,0,0,0.0
2024,liquidity,流动性风险,流动资金,word2vec,12,12,0.0
2024,liquidity,流动性风险,流动,word2vec,185,77,0.004731
2024,solvency,偿债风险,资产负债率,seed,6,6,0.0
2024,solvency,偿债风险,负债,seed,463,387,0.027913
2024,solvency,偿债风险,债券,seed,695,695,0.037157
2024,solvency,偿债风险,借款,seed,131,125,0.009209
2024,solvency,偿债风险,利息,seed,194,191,0.012368
2024,solvency,偿债风险,利息保障倍数,seed,3,3,0.0
2024,solvency,偿债风险,债务,seed,222,208,0.012287
2024,solvency,偿债风险,兑付,seed,83,83,0.006878
2024,solvency,偿债风险,票面价格,word2vec,4,4,0.0
2024,solvency,偿债风险,浮息,word2vec,1,1,0.0
2024,solvency,偿债风险,抵押借款,word2vec,6,6,0.0
2024,solvency,偿债风险,筹措,word2vec,1,1,0.0
2024,solvency,偿债风险,定息,word2vec,1,1,0.0
2024,solvency,偿债风险,公司债,word2vec,170,20,0.0
2024,solvency,偿债风险,债权人,word2vec,3,3,0.0
2024,solvency,偿债风险,抵押物,word2vec,1,1,0.0
2024,solvency,偿债风险,续债,word2vec,64,1,0.0
2024,solvency,偿债风险,长短期,word2vec,1,1,0.0
2024,solvency,偿债风险,清偿债务,word2vec,10,10,0.0
2024,operation,营运风险,应收账款,seed,92,92,0.010131
2024,operation,营运风险,合同资产,seed,96,96,0.010572
2024,operation,营运风险,存货,seed,53,53,0.004066
2024,operation,营运风险,周转,seed,5,5,0.0
2024,operation,营运风险,结算,seed,26,25,0.0
2024,operation,营运风险,减值,seed,208,208,0.017461
2024,operation,营运风险,账龄,seed,33,33,0.003634
2024,operation,营运风险,坏账,seed,10,10,0.0
2024,operation,营运风险,跌价,word2vec,11,11,0.0
2024,operation,营运风险,预收款,word2vec,4,4,0.0
2024,operation,营运风险,库存商品,word2vec,5,5,0.0
2024,operation,营运风险,变现,word2vec,10,10,0.0
2024,operation,营运风险,准备,word2vec,272,249,0.01137
2024,operation,营运风险,第三阶段,word2vec,8,8,0.0
2024,operation,营运风险,应收,word2vec,303,89,0.007581
2024,operation,营运风险,第二阶段,word2vec,7,7,0.0
2024,operation,营运风险,第一阶段,word2vec,6,6,0.0
2024,operation,营运风险,应收款,word2vec,119,119,0.010768
2024,operation,营运风险,现金结算,word2vec,1,1,0.0
2024,operation,营运风险,预收,word2vec,16,12,0.0
2024,profitability,盈利风险,毛利率,seed,17,17,0.0
2024,profitability,盈利风险,净利润,seed,77,77,0.004247
